Run 1: numTimes=100, numFlips=10

[0.68295634 0.34098905]
[0.63741789 0.27190262]
[0.61448554 0.24092607]
[0.60186689 0.22627457]
[0.59499832 0.21881286]
[0.59129738 0.21485094]
[0.58930159 0.21271043]
[0.5882209  0.21154611]
[0.58763356 0.21091104]
[0.58731356 0.21056422]
[0.58713894 0.21037472]
[0.58704358 0.21027115]
[0.58699147 0.21021453]
[0.58696299 0.21018358]
[0.58694742 0.21016666]
[0.58693891 0.2101574 ]
[0.58693426 0.21015235]
[0.58693171 0.21014958]
[0.58693032 0.21014807]
[0.58692956 0.21014724]

Run 2: numTimes=100, numFlips=2

[0.67448572 0.33988105]
[0.65886534 0.30480458]
[0.66174487 0.29155675]
[0.66711879 0.2838395 ]
[0.67192408 0.27844777]
[0.67569452 0.2745056 ]
[0.67851584 0.27161763]
[0.6805773 0.2695196]
[0.68206224 0.26800945]
[0.68312196 0.26693083]
[0.68387347 0.26616501]
[0.6844041  0.26562367]
[0.68477763 0.26524223]
[0.68504004 0.26497409]
[0.68522411 0.26478589]
[0.68535309 0.26465396]
[0.68544341 0.26456155]
[0.68550663 0.26449685]
[0.68555086 0.26445158]
[0.6855818  0.26441991]
